2015 (MW),269.481,208.981,487.7298,108.092,1837.6297265,10.3,2922.2135265,,,,,,,,
2014 (MW),248.2,208.1,425.3,88.2,1509.4,,2479.2,,,,,,,,
2013 (MW),239.9,202.2,335.6,74.4,1018.7,,1870.8,,,,,,,,
2012 (MW),208.7,202.2,295.4,62.6,645.3,,1414.2,,,,,,,,
2011 (MW),202.9,202.2,234.6,59.5,419.4,,1118.4,,,,,,,,
Total IESO-contracted embedded generation in commercial operation at end of each period.   Numbers may not add up to totals due to rounding.,,,,,,,,,,,,,,,
"1 A small amount (estimated 180 MW) of contracted embedded capacity is IESO-administered (market participant) generation and therefore reported in both grid-connected and contracted embedded generation totals.  Totals do not include non-contracted embedded generation capacity, whose total annual output is approximately 1 TWh.  ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Grid-Connected and Contracted Embedded Generation Capacity,,,,,,,,,,,,,,,
Year,Nuclear,Hydroelectric,Coal,Gas,Wind,Biofuel,Solar,Other,Total,,,,,,
2019Q4 (MW),13009,9345.54,0,10552.8,5076.9,404.58,2587.39,24.2,41000.41,,,,,,
2019Q4 (%),31.7289510031729%,22.7937720622794%,0%,25.7382792025738%,12.3825591012383%,0.986770620098677%,6.31064421063106%,<1%,,,,,,,
Note: Numbers may not add up to totals due to rounding.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Electricity Supply,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Historical Monthly Generation Output by Fuel Type (Grid-Connected) (MWh),,,,,,,,,,,,,,,
Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total,,,,,,,
2018,October,7846763,321472,3017927,929761,33579,31011,12180513,,,,,,,
2018,November,7521596,631237,3183446,1140513,17228,25016,12519036,,,,,,,
2018,December,7811509,725262,3329058,1071009,14006,32042,12982886,,,,,,,
2019,January,8057994,941073,3422346,1435375,24861,30928,13912577,,,,,,,
2019,February,6320056,1261447,3182154,1205471,30392,22721,12022241,,,,,,,
2019,March,6547146,1262378,3183009,1269843,59236,33840,12355452,,,,,,,
2019,April,6580452,432651,3138319,1065941,64425,29496,11311284,,,,,,,
2019,May,6981779,370929,3653815,633643,72410,31320,11743896,,,,,,,
2019,June,8136401,269155,3214068,379748,78294,25613,12103279,,,,,,,
2019,July,8485535,1546232,2978112,511460,91248,38876,13651463,,,,,,,
2019,August,8527916,940898,2509471,507267,90259,38447,12614258,,,,,,,
2019,September,7726232,494246,2379130,694997,71195,30298,11396098,,,,,,,
2019,October,7905165,303535,2698934,818388,47552,17999,11791573,,,,,,,
2019,November,7149679,870571,3001919,1148503,27051,36059,12233782,,,,,,,
2019,December,8031269,820102,3041988,1306285,19448,33977,13253069,,,,,,,
Notes :,,,,,,,,,,,,,,,
1. Data includes output of all transmission-connected generation facilities and embedded generators that are Market Participants. Data does not include output of embedded generators that are not registered as Market Participants.,,,,,,,,,,,,,,,
2. Oil facilities are included under the Gas category.,,,,,,,,,,,,,,,
3. Coal generation ceased production in Q1 2014.,,,,,,,,,,,,,,,
4. Transmission-connected solar began to be recorded in Q1 2015.,,,,,,,,,,,,,,,
5. Values may not add up to the total due to rounding.,,,,,,,,,,,,,,,
6. Related reports can be found at http://reports.ieso.ca/public/GenOutputbyFuelMonthly ,,,,,,,,,,,,,,,
Imports and Exports (GWh),,,,,,,,,,,,,,,
Import Quantities,Manitoba,Michigan,Minnesota,New York,Quebec,Total,,,,,,,,,
Quarter,111.97,34.35,16.29,7.94,1066.01,1236.56,,,,,,,,,
Percent,9.1%,2.8%,1.3%,0.6%,86.2%,,,,,,,,,,
Export Quantities,Manitoba,Michigan,Minnesota,New York,Quebec,Total,,,,,,,,,
Quarter,154.86,2775.31,90.59,1219.18,653.68,4893.62,,,,,,,,,
Percent,3.2%,56.7%,1.9%,24.9%,13.4%,,,,,,,,,,
Note :,,,,,,,,,,,,,,,
1. Values may not add up to the total due to rounding.,,,,,,,,,,,,,,,
2. Related reports can be found at http://reports.ieso.ca/public/IntertieScheduleFlowYear,,,,,,,,,,,,,,,
Quarter Generation Capacity (Grid-Connected) versus Ontario Demand and Operating Reserve (MW),,,,,,,,,,,,,,,
Time,MW,EST,Date,,,,,,,,,,,,
Available Capacity at Peak,24597,18:00:00,2019-12-19,,,,,,,,,,,,
Ontario Peak Demand,20974,18:00:00,2019-12-19,,,,,,,,,,,,
Ontario Minimum Demand,10739,04:00:00,2019-10-06,,,,,,,,,,,,
Ontario Operating Reserve Requirement at Peak,1418,18:00:00,2019-12-19,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Adequacy2 and http://reports.ieso.ca/public/Demand ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Greenhouse Gas Emissions from the Ontario Electricity Sector,,,,,,,,,,,,,,,
Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 YTD (Q4)
CO2e Emissions (Megatonnes),35.4,30.8,33.9,28.3,15.3,20.3,14.4,14.3,10.3,6,6.3,5.5,2.5,4,4
Note: Data to 2017 is as per Environment and Climate Change Canada's National Inventory Report issued in April 2019. Data for 2018 onwards is estimated by the IESO using actual energy production and emissions factors aligned with data provided by Environment and Climate Change Canada's National Inventory Report.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Air Contaminant Emissions from the Ontario Electricity Sector,,,,,,,,,,,,,,,
Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 YTD (Q4)
SO2 Emissions (Tonnes),114323,87932,105419,76020,30762,38507,11966,10342,10192,846,424,579,644,504,464
NOx Emissions (Tonnes),48143,38955,43846,38314,23653,27358,18198,19867,17973,11448,10355,9323,5695,5924,6010
PM2.5 Emissions (Tonnes),1778,1524,1871,1309,986,843,518,468,445,309,262,239,195,210,212
"Note: Data to 2017 is as reported to Environment and Climate Change Canada through the National Pollutant Release Inventory.  Data for 2018 onwards is estimated by the IESO using a combination of average historical data, actual energy production and facility level emissions factors (based on data reported to Environment and Climate Change Canada's National Pollutant Release Inventory).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Electricity Demand,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ontario Demand Peaks and Minimums (MW),,,,,,,,,,,,,,,
Year,Quantity,MW,EST,Date,,,,,,,,,,,
2018,Ontario Peak Demand,20152,18:00:00,2018-11-22,,,,,,,,,,,
2019,Ontario Peak Demand,21791,17:00:00,2019-07-29,,,,,,,,,,,
2018,Ontario Minimum Demand,10847,04:00:00,2018-10-08,,,,,,,,,,,
2019,Ontario Minimum Demand,10328,04:00:00,2019-05-20,,,,,,,,,,,
2019,Q1 Ontario Peak Demand,21525,18:00:00,2019-01-21,,,,,,,,,,,
2019,Q2 Ontario Peak Demand,20248,19:00:00,2019-06-27,,,,,,,,,,,
2019,Q3 Ontario Peak Demand,21791,17:00:00,2019-07-29,,,,,,,,,,,
2019,Q4 Ontario Peak Demand,20974,18:00:00,2019-12-19,,,,,,,,,,,
2019,Q1 Ontario Minimum Demand,12210,03:00:00,2019-03-30,,,,,,,,,,,
2019,Q2 Ontario Minimum Demand,10328,04:00:00,2019-05-20,,,,,,,,,,,
2019,Q3 Ontario Minimum Demand,10477,04:00:00,2019-09-29,,,,,,,,,,,
2019,Q4 Ontario Minimum Demand,10739,04:00:00,2019-10-06,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Demand ,,,,,,,,,,,,,,,
Historical Monthly Ontario Demand Peaks and Minimums (MW),,,,,,,,,,,,,,,
Year,Month,Peak MW,Minimum MW,,,,,,,,,,,,
2018,October,18205,10847,,,,,,,,,,,,
2018,November,20152,11765,,,,,,,,,,,,
2018,December,19891,12284,,,,,,,,,,,,
2019,January,21525,12291,,,,,,,,,,,,
2019,February,20500,13041,,,,,,,,,,,,
2019,March,20263,12210,,,,,,,,,,,,
2019,April,17645,11079,,,,,,,,,,,,
2019,May,16784,10328,,,,,,,,,,,,
2019,June,20248,10564,,,,,,,,,,,,
2019,July,21791,11565,,,,,,,,,,,,
2019,August,21354,11280,,,,,,,,,,,,
2019,September,19717,10477,,,,,,,,,,,,
2019,October,18329,10739,,,,,,,,,,,,
2019,November,19625,11711,,,,,,,,,,,,
2019,December,20974,11787,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Demand ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Forecast Demand Peaks,,,,,,,,,,,,,,,
"Season
",Normal Weather Peak (MW),Extreme Weather Peak (MW),,,,,,,,,,,,,
Summer 2020,22195.0004402067,24584.000044021,,,,,,,,,,,,,
Winter 2020-2021,21245.0004420279,22523.000044202,,,,,,,,,,,,,
Summer 2021,22368.0004474867,24781.000044749,,,,,,,,,,,,,
"These values to be posted in the March 24, 2020 Reliability Outlook",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Historical Quarter Ontario Energy Demand (TWh),,,,,,,,,,,,,,,
Year,Quarter Total TWh,,,,,,,,,,,,,,
2013,35.58,,,,,,,,,,,,,,
2014,34.47,,,,,,,,,,,,,,
2015,32.7,,,,,,,,,,,,,,
2016,33.16,,,,,,,,,,,,,,
2017,33.57,,,,,,,,,,,,,,
2018,33.97,,,,,,,,,,,,,,
2019,33.59,,,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Demand ,,,,,,,,,,,,,,,
Historical Annual Ontario Energy Demand (TWh),,,,,,,,,,,,,,,
Year,Total TWh,Change over Previous Year,,,,,,,,,,,,,
2013,140.7,-0.6,,,,,,,,,,,,,
2014,139.8,-0.9,,,,,,,,,,,,,
2015,137,-2.8,,,,,,,,,,,,,
2016,137,0,,,,,,,,,,,,,
2017,132.1,-4.9,,,,,,,,,,,,,
2018,137.4,5.3,,,,,,,,,,,,,
2019,135.1,-2.3,,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Demand ,,,,,,,,,,,,,,,
Class A Historical Monthly Cost of Electricity (½/kWh),,,,,,,,,,,,,,,
Year,Month,HOEP Arithmetic Average Price (1),Global Adjustment (Average Class A Customer),Total Cost of Commodity,,,,,,,,,,,
2018,October,1.28,6.3,7.58,,,,,,,,,,,
2018,November,2.36,5.25,7.61,,,,,,,,,,,
2018,December,2.66,4.89,7.55,,,,,,,,,,,
2019,January,2.64,5.32,7.96,,,,,,,,,,,
2019,February,2.71,5.43,8.14,,,,,,,,,,,
2019,March,2.67,4.81,7.48,,,,,,,,,,,
2019,April,1.48,6.37,7.85,,,,,,,,,,,
2019,May,0.7,6.42,7.12,,,,,,,,,,,
2019,June,0.37,7.18,7.55,,,,,,,,,,,
2019,July,2.05,5.94,7.99,,,,,,,,,,,
2019,August,1.48,6.72,8.2,,,,,,,,,,,
2019,September,1.34,5.74,7.08,,,,,,,,,,,
2019,October,0.65,6.28,6.93,,,,,,,,,,,
2019,November,1.96,5.13,7.09,,,,,,,,,,,
2019,December,2.06,5.3,7.36,,,,,,,,,,,
2019,YTD,1.67,5.89,7.56,,,,,,,,,,,
Note :,,,,,,,,,,,,,,,
1. Unweighted average of Hourly Ontario Energy Prices to reflect a typical (flat) industrial consumption profile.,,,,,,,,,,,,,,,
2. Values may not add up to the total due to dollar values that are rounded down to cents,,,,,,,,,,,,,,,
3. Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage ,,,,,,,,,,,,,,,
Class B Historical Monthly Cost of Electricity (½/kWh),,,,,,,,,,,,,,,
Year,Month,HOEP Weighted Average Price (1),Global Adjustment (Average Class B Customer),Total Cost of Commodity,,,,,,,,,,,
2018,October,1.38,12.06,13.44,,,,,,,,,,,
2018,November,2.51,9.86,12.37,,,,,,,,,,,
2018,December,2.79,7.4,10.19,,,,,,,,,,,
2019,January,2.78,8.09,10.87,,,,,,,,,,,
2019,February,2.79,8.81,11.6,,,,,,,,,,,
2019,March,2.73,8.04,10.77,,,,,,,,,,,
2019,April,1.56,12.33,13.89,,,,,,,,,,,
2019,May,0.76,12.6,13.36,,,,,,,,,,,
2019,June,0.48,13.73,14.21,,,,,,,,,,,
2019,July,2.19,9.65,11.84,,,,,,,,,,,
2019,August,1.61,12.61,14.22,,,,,,,,,,,
2019,September,1.43,12.26,13.69,,,,,,,,,,,
2019,October,0.72,13.68,14.4,,,,,,,,,,,
2019,November,2.07,9.95,12.02,,,,,,,,,,,
2019,December,2.19,9.32,11.51,,,,,,,,,,,
2019,YTD,1.83,10.76,12.59,,,,,,,,,,,
Note :,,,,,,,,,,,,,,,
"1. Averages are weighted by the amount of electricity used throughout the province within each hour to broadly reflect the consumption profile of Class B(ie,. residential and commercial ) consumers.",,,,,,,,,,,,,,,
2. Values may not add up to the total due to dollar values that are rounded down to cents,,,,,,,,,,,,,,,
3. Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage ,,,,,,,,,,,,,,,
and http://reports.ieso.ca/public/GlobalAdjustment ,,,,,,,,,,,,,,,
Historical Monthly Wholesale Electricity Prices (½/kWh),,,,,,,,,,,,,,,
Year,Month,HOEP Arithmetic Average Price,Maximum HOEP Price,Minimum HOEP Price,,,,,,,,,,,
2018,October,1.28,18.37,-0.44,,,,,,,,,,,
2018,November,2.36,36.56,-0.03,,,,,,,,,,,
2018,December,2.66,17.96,0,,,,,,,,,,,
2019,January,2.64,22.23,-0.29,,,,,,,,,,,
2019,February,2.71,17.61,0,,,,,,,,,,,
2019,March,2.67,15.6,0,,,,,,,,,,,
2019,April,1.48,34.08,-0.45,,,,,,,,,,,
2019,May,0.7,17.01,-3.1,,,,,,,,,,,
2019,June,0.37,11.11,-5.93,,,,,,,,,,,
2019,July,2.05,18.06,-0.42,,,,,,,,,,,
2019,August,1.48,6.94,-0.42,,,,,,,,,,,
2019,September,1.34,17.4,-0.38,,,,,,,,,,,
2019,October,0.65,9.06,-0.41,,,,,,,,,,,
2019,November,1.96,102.85,-0.3,,,,,,,,,,,
2019,December,2.06,96,-0.3,,,,,,,,,,,
Note :,,,,,,,,,,,,,,,
1. Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage ,,,,,,,,,,,,,,,
and http://reports.ieso.ca/public/PriceHOEPPredispOR ,,,,,,,,,,,,,,,
